File,Sentence,String
2002-04-21-0127.xml,0,"Le plus urgent c'est l'envoie des secours pour faire face «à une terrible situation humanitaire», a déclaré <date hier <pad><pad><pad><pad>resta 1 d<pad><pad>> Kofi Annan, après le vote de la résolution 1405 de l'ONU"
2002-04-21-0127.xml,1," En attendant la commission d'enquête que finalement Bush n'a pas bloquée, le secrétaire d'Etat américain William Burn, <date hier <pad><pad><pad><pad>resta 1 d<pad><pad>> sur place, reconnaissait déjà « une tragédie humaine pour des milliers d'innocents »"
1999-07-28-0348d.xml,0,"Philippe Barret, un des conseillers du ministre de l'Intérieur Jean-Pierre Chevènement, a démissionné <date mercredi dernier <pad><pad><pad><pad>resta 3 dayw<pad><pad>> de ses fonctions"
1999-07-28-0348d.xml,1," Conseiller politique, Philippe Barret, qui s'occupait également des questions relatives à la Corse, a avancé des «raisons personnelles» à son départ"
1999-07-28-0348d.xml,2," Agé de 54 ans, il devrait regagner son corps d'origine, l'inspection générale de l'éducation nationale"
1999-08-27-1122.xml,0,Mandats de dépôt
1999-08-27-1122.xml,1,"« L'équipée sauvage » de <date la nuit de lundi à mardi <pad><pad><pad>neutro 1 dayw<pad><pad><pad>tni> à Rambervillers a connu son épilogue <date hier matin <pad><pad><pad>resta 1 d<pad><pad><pad>tmo>, devant le tribunal correctionnel d'Epinal : les cinq casseurs ont été conduits à la maison d'arrêt après leurs condamnations, en comparution immédiate, à des peines de prison ferme"
1999-08-27-1122.xml,2,Interpellés dès <date mardi soir <pad><pad><pad>neutro 2 dayw<pad><pad><pad>tev> par les gendarmes qui n'avaient pu rattraper les fuyards lors d'une course-poursuite
1999-08-27-1122.xml,3,"Elvis Weiss, Johnny Kadda, Abdelbaky Rahimi, Nordine Meguernes et Vincent Chenal, qui habitent tous le même quartier, n'ont pas su expliquer pourquoi ils ont cassé, dégradé, et incendié au cours d'une virée <time nocturne <pad><pad><pad><pad><pad><pad><pad><pad><pad>tni> qui a tourné au saccage organisé"
1999-08-27-1122.xml,4,"« J'étais énervé », « Je ne sais pas », « C'est parti tout seul », « Ben, comme ça"
1999-08-27-1122.xml,7, » : des réponses qui arrachent une moue d'incrédulité au président Lespérance
1999-08-27-1122.xml,8,"Cinq vitrines brisées, un container brûlé, une quinzaine de jardinières arrachées et jetées dans la Mortagne, trois tentatives de vol de voitures et un véhicule incendié, une effraction et du vol d'outillage à la piscine municipale, des dégradations en série : la liste des méfaits et exactions commis entre <time 0 h 30 <pad><pad><pad><pad><pad><pad>0 30<pad><pad>> et <time 4 h mardi <pad><pad><pad>neutro 2  dayw 20 00<pad><pad>> ressemble à une litanie sans fin"
