File,Sentence,String
104_20001201.txt,1,"Las células de la médula ósea se acaban de revelar como una excelente fuente, menos conflictiva y más abundante que las células embrionarias, para fabricar a partir de ellas neuronas cerebrales, un tejido que no se regenera en caso de deterioro. "
104_20001201.txt,2,"Según publica <date hoy <pad><pad><pad><pad>suma 0 d<pad><pad>> la revista Science, investigadores del Instituto de Alteraciones Neurológicas (NINDS) y de la Universidad de Stanford, en EEUU, han logrado que el proceso de reconversión funcionara en trasplantes con ratones. "
104_20001201.txt,3,Los autores confían en la médula como fuente potencial para tratar en humanos el Parkinson y otras alteraciones neurológicas. 
104_20001201.txt,4,"Trabajos anteriores habían demostrado, pero sólo en cultivos de laboratorio, que las células de la médula podían funcionar como stem cells (células pluripotenciales) y derivar hacia neuronas. "
104_20001201.txt,5,"Una de las grandes novedades de <date ahora <pad><pad><pad><pad><pad><pad>present<pad><pad>> es que se ha realizado el mismo proceso, pero en el interior de un ser vivo. "
104_20001201.txt,6,CORRECTA EVOLUCION. 
104_20001201.txt,7,"En el primer estudio, dirigido por Eva Mezey (NINDS), se inyectaron células de la médula de ratones machos normales en hembras recién nacidas que no tenían glóbulos blancos propios. "
104_20001201.txt,8,"<duration cuatro meses <pad>4<pad><pad><pad><pad><pad><pad>> después del trasplante, se encontró un notable número de células neuronales en distintas regiones del cerebro que descendían de las células trasplantadas. "
104_20001201.txt,9,Esto indica que las stem cells de otras partes del organismo pueden llegar al cerebro y especializarse como si fueran células neuronales. 
104_20001201.txt,10,"En el segundo estudio, Helen Blau y sus colegas de Stanford inyectaron médula ósea de unos ratones en otros que habían sido irradiados para que no la tuvieran. "
104_20001201.txt,0,"Las células no sólo migraban hacia diferentes regiones del cerebro, sino que algunas desarrollaban fibras y empezaban a funcionar como células nativas. "
104_20010802.txt,1,' Este tribunal cree que la prisión les causará un daño difícil de superar '. 
104_20010802.txt,2,"En estos términos justifica la Audiencia de Girona la petición de indulto para Javier Martín Gualda, Ramon Deulofeu Revuelta y Marc Ribas Servià, a quienes condenaba a <duration dos años y tres meses 2 3<pad><pad><pad><pad><pad><pad>> de cárcel por un delito contra la salud pública. "
104_20010802.txt,3,"La sentencia considera probado que, a <date finales de septiembre de 1998 1998 09<pad><pad><pad><pad><pad><pad><pad>>, los jóvenes se encontraron 25 kilos de cocaína en la playa Fonda de Begur, donde residen. "
104_20010802.txt,4,Durante <duration varios meses <pad>X<pad><pad><pad><pad><pad><pad>> se la repartieron para venderla. 
104_20010802.txt,5,"Otros cuatro hombres, tres de los cuales han sido absueltos, también estaban relacionados con la distribución de la droga. "
104_20010802.txt,0,El tribunal justifica su acción ' ya que por azar se encontraron en una situación que creyeron afortunada '. 
104_20010902.txt,1,La Policía británica no entiende cómo fue que la información confidencial sobre 11 pederastas haya ido a parar a manos del sindicato de estudiantes de la Universidad de Bristol. 
104_20010902.txt,0,La policía sólo sabe que había facilitado los datos al departamento de Derecho para que llevaran a cabo un estudio. 
104_20020502.txt,1,"El Parlament ha aprobado, por unanimidad, una proposición no de ley en la que se reclama a la Generalitat que, en el plazo de <duration seis meses <pad>6<pad><pad><pad><pad><pad><pad>>, elabore un estudio sobre la viabilidad de construir una línea de ferrocarril entre Sallent (Bages) y La Pobla de Lillet. El nuevo mercado de Santa Caterina, en Ciutat Vella, tendrá una gran cubierta decorada con azulejos estampados con frutas y verduras que se verá a vista de pájaro. "
104_20020502.txt,2,"<date actualmente <pad><pad><pad><pad><pad><pad>present<pad><pad>> se procede a la cimentación del mercado, cuya apertura está prevista para <date mitad del 2003 2003<pad><pad><pad><pad><pad><pad><pad><pad>> tras una inversión de 18 millones de euros (2.995 millones de pesetas). "
104_20020502.txt,3,"Además, se construirán dos bloques de pisos para ancianos y un museo arqueológico que integrará en una cripta los restos hallados en el subsuelo de Santa Caterina. "
104_20020502.txt,4,"El proyecto del mercado fue realizado por los arquitectos Enric Miralles, fallecido en <date el 2000 2000<pad><pad><pad><pad><pad><pad><pad><pad>>, y Benedetta Tagliabue. "
104_20020502.txt,5,"Las obras de construcción están coordinadas por Foment de Ciutat Vella, que agrupa a los distintos sectores (vivienda, párking, recogida automática de basuras, mercados y arqueología) que intervienen en Santa Caterina. "
104_20020502.txt,6,"El elemento más espectacular del mercado es su cubierta, una gran escultura-techo con bóvedas a la catalana construida con madera laminada. "
104_20020502.txt,7,"La cubierta sólo se sostendrá mediante jácenas de hierro en los laterales del mercado y con cuatro pilares metálicos que evocarán la forma de árboles en la fachada principal, que da a la avenida de Cambó. "
104_20020502.txt,8,"Así, el interior del mercado se convertirá en un espacio libre de interferencias visuales con un techo que parecerá flotar. "
104_20020502.txt,9,Esta techumbre se encajará pieza a pieza. 
104_20020502.txt,10,LA PÉRGOLA. 
104_20020502.txt,11,"La cubierta se prolongará en la fachada principal hacia la avenida de Cambó, creando una especie de pérgola-escultura, un invernáculo que dará sombra y cuya función será ' captar la energía de Via Laietana y de la plaza de la Catedral y captar el movimiento de turistas en la ruta de conexión con Santa Maria del Mar ', explica Tagliabue. "
104_20020502.txt,12,"El revestimiento exterior de la cubierta será de azulejos hexagonales con formas de vegetales estampados, con lo que desde el aire y desde las casas vecinas más altas se verá una especie de frutero gigante. "
104_20020502.txt,13,"El equipo de Tagliabue ha hecho pruebas con judías verdes, tomates y naranjas e incluso nubes, pero al final prosperará la idea de varias frutas estampadas y difuminadas entre la cerámica de los azulejos. "
104_20020502.txt,14,La idea no está muy alejada del recubrimiento de los mercados tradicionales mediterráneos. 
104_20020502.txt,15,"La cubierta del Born, por ejemplo, está formada por líneas geométricas de tejas vidriadas en verde y rojo. "
104_20020502.txt,16,PIEDRAS DEL SUBSUELO. 
104_20020502.txt,17,"La fachada trasera del mercado, contigua a los dos bloques de viviendas para ancianos, formará una pequeña plaza, la plaza de las payesas, adornada con un friso de estructura metálica y celosías de madera. "
104_20020502.txt,18,"En el muro que dará a la calle de Colomines, la arquitecta proyecta incrustar algunas de las piedras halladas en el subsuelo y formar con ellas las palabras Santa Caterina. "
104_20020502.txt,0,Tagliabue afirma que este nuevo mercado ' interesará no sólo a los vecinos sino también a quienes se preocupan por la cultura gastronómica y quieren encontrar productos selectos '. 
104_C-4.txt,1,El presidente del órgano regulador de las Telecomunicaciones se mostró partidario de completar esta liberalización de las telecomunicaciones con otras medidas que incentiven la competencia como puede ser abrir el acceso a la información de los clientes de Telefónica a otros operadores. 
104_C-4.txt,2,"Sobre la oferta de interconexión con Telefónica de otros operadores que acaba de aprobar la CMT, Vázquez Quintana dijo que para desarrollarla han escuchado a los operadores actuales y a otros que pronto darán servicios y que al tener que aunar tantos intereses es imposible dejar satisfechos a todos. "
104_C-4.txt,3,Afirmó que sigue el criterio europeo y que trata de incentivar el mercado donde no lo hay. 
